seed,score,rain_events,rain_count,turn_rain_counts,shock_2050_2055,shock_2065_2075,shock_2080_2100,rain_count_good,rain_counts_increase,no_policy_severe,neglect_or_agri_severe,balanced_avoids_severe,hard_less_than_no_policy,resident_prompt_no_policy,housing_prompt_no_policy,balanced_no_resident_prompt,relocation_no_resident_prompt,rnd_delays_crop,infra_ecosystem_worse
746,165,"[[2032, 172.16272938267053], [2060, 160.01703701635742], [2066, 180.505714907213], [2067, 228.03158496883594], [2069, 147.440779029712], [2081, 243.71012891601177], [2086, 237.36897549641284], [2095, 208.8201157874021], [2096, 183.84549745873775]]",9,"[1, 4, 4]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
747,165,"[[2031, 172.17630209279457], [2059, 160.05004332614635], [2065, 180.5048878033928], [2066, 227.9531569084716], [2068, 147.4937700891847], [2080, 199.3738887952843], [2085, 237.27811965286648], [2094, 208.7751144912808], [2095, 183.83950225111832]]",9,"[1, 4, 4]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
748,165,"[[2030, 172.18987480291858], [2058, 160.0830496359353], [2064, 180.5040606995726], [2065, 227.87472884810728], [2067, 147.54676114865737], [2079, 199.34291181457004], [2084, 237.18726380932014], [2093, 208.73011319515948], [2094, 183.8335070434989], [2100, 169.17850487110417]]",10,"[1, 4, 5]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
761,165,"[[2045, 160.51213166319144], [2051, 180.49330834990988], [2052, 226.8551640633711], [2054, 148.23564492180225], [2066, 198.94021106528479], [2071, 236.00613784321752], [2080, 208.14509634558252], [2081, 175.4977783693036], [2087, 169.39646769906554], [2088, 201.2183126098716], [2091, 186.12928145495817], [2094, 178.91131138424788], [2095, 194.38874596087874], [2100, 263.145723672165]]",14,"[1, 5, 8]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
762,165,"[[2044, 160.54513797298037], [2050, 180.49248124608965], [2051, 226.77673600300676], [2053, 148.28863598127495], [2065, 198.90923408457053], [2070, 235.91528199967115], [2079, 208.1000950494612], [2080, 175.50496549619413], [2086, 169.4132340704472], [2087, 201.1848150482412], [2090, 186.11965070968665], [2093, 178.91301398038513], [2094, 194.36627859042903], [2099, 263.0169011697955]]",14,"[2, 4, 8]",False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
23,160,"[[2033, 277.0448855488792], [2051, 190.62661941334596], [2058, 163.1337379718879], [2064, 234.02679891929228], [2073, 187.52965829918935], [2074, 204.3739079490177], [2081, 217.01486168834236], [2082, 210.48514882464204], [2083, 170.3208076525555], [2086, 181.13328365138676], [2087, 167.5994517846966], [2096, 190.77080666802786], [2100, 178.60297425872147]]",13,"[1, 5, 7]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
24,160,"[[2032, 276.87711222241785], [2050, 190.60880232690442], [2057, 163.161688690211], [2063, 233.9381473505077], [2072, 187.5174828295441], [2073, 204.33455892788228], [2080, 216.95577296956964], [2081, 210.436561383437], [2082, 170.33620986815723], [2085, 181.1314888582737], [2086, 167.61905960884548], [2095, 190.7540147645365], [2099, 178.60513875190185]]",13,"[2, 4, 7]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
25,160,"[[2031, 276.7093388959564], [2049, 190.59098524046289], [2056, 163.18963940853413], [2062, 233.8494957817231], [2071, 187.50530735989884], [2072, 204.2952099067469], [2079, 216.8966842507969], [2080, 210.38797394223198], [2081, 170.351612083759], [2084, 181.12969406516066], [2085, 167.63866743299437], [2094, 190.73722286104515], [2098, 178.60730324508225]]",13,"[2, 4, 7]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
26,160,"[[2030, 276.54156556949505], [2055, 163.21759012685723], [2061, 233.76084421293854], [2070, 187.49313189025358], [2071, 204.25586088561147], [2078, 216.83759553202418], [2079, 210.33938650102695], [2080, 170.36701429936073], [2083, 181.1278992720476], [2084, 167.65827525714326], [2093, 190.7204309575538], [2097, 178.60946773826262]]",12,"[1, 4, 7]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
27,160,"[[2029, 276.3737922430337], [2054, 163.24554084518033], [2060, 233.67219264415394], [2069, 187.4809564206083], [2070, 204.21651186447608], [2077, 216.77850681325145], [2078, 210.29079905982192], [2079, 170.3824165149625], [2082, 181.12610447893454], [2083, 167.67788308129215], [2092, 190.70363905406242], [2096, 178.611632231443]]",12,"[1, 4, 7]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
28,160,"[[2028, 276.20601891657225], [2053, 163.27349156350343], [2059, 233.58354107536934], [2068, 187.46878095096304], [2069, 204.17716284334065], [2076, 216.71941809447873], [2077, 210.2422116186169], [2078, 170.39781873056424], [2081, 181.1243096858215], [2082, 167.69749090544104], [2091, 190.68684715057108], [2095, 178.61379672462337]]",12,"[1, 4, 7]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
31,160,"[[2050, 163.35734371847275], [2056, 233.3175863690156], [2065, 187.43225454202727], [2066, 204.05911577993444], [2073, 216.54215193816054], [2075, 170.4440253773695], [2078, 181.11892530648234], [2079, 167.7563143778877], [2088, 190.636471440097], [2092, 178.62029020416452]]",10,"[1, 5, 4]",False,True,False,True,False,True,True,True,True,False,False,True,True,True,True
