seed,scenario,label,severe_flood_count,major_flood_count,flood_notice_count,severe_flood_years,major_flood_years,crop_low_year,ecosystem_low_year,ecosystem_critical_year,resident_capacity_low_t2,high_risk_houses_t2,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100,final_available_budget_mana,final_crop_yield,final_ecosystem_level,final_risky_houses,final_resident_capacity,rain_events
67,07_late_response,後手対応,1,1,3,2056,2091,2060,2086,,,2075,410991563.6,225928245.4,271534906.0,319955906.4,2.472,4689.6,71.04,9522.2,0.369,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,08_ecosystem_sacrifice,生態系犠牲型,0,1,0,,2056,2060,2071,,2075,2075,329769420.1,179685688.2,204279785.3,233642396.9,2.18,4577.5,69.24,7169.0,0.0,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,09_flood_neglect,洪水軽視型,1,0,4,2056,,,,,2075,2075,423793395.6,227591663.6,257897030.6,287350883.3,2.466,5000.0,76.12,9522.2,0.0,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
239,01_no_policy,放置,3,2,4,"2050,2069,2093","2084,2100",2052,2095,,2075,2075,441525942.5,330773404.2,441525942.5,355941213.9,2.019,1289.2,71.64,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,02_hard_infra,堤防偏重,0,0,2,,,2052,2070,,,,285186541.1,283401019.4,285186541.1,233918035.4,3.037,2532.6,69.24,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,03_nature_based,自然共生偏重,1,2,3,2069,"2050,2093",2041,,,2075,2075,392477889.8,318930308.0,392477889.8,311211948.0,2.293,1668.2,73.54,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,04_agri_rnd,農業R&D偏重,2,0,4,"2050,2069",,,,,2075,2075,392659104.0,330773404.2,392659104.0,281997083.7,2.224,2448.4,76.34,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,05_relocation_capacity,移転・防災偏重,1,2,3,2093,"2050,2100",2052,2095,,,,341657617.0,314635394.6,296856819.1,341657617.0,0.0,1510.0,71.64,5694.7,0.391,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,06_balanced,バランス型,0,0,3,,,,,,,,294127036.2,294127036.2,293943898.2,287510806.9,2.964,2414.6,72.32,12110.6,0.391,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,07_late_response,後手対応,2,1,3,"2050,2069",2093,2052,2086,,,2075,400249104.8,330773404.2,400249104.8,318992584.7,2.27,1955.7,71.04,12623.4,0.369,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,08_ecosystem_sacrifice,生態系犠牲型,0,0,2,,,2052,2070,,,,285186541.1,283401019.4,285186541.1,231588655.7,2.168,2632.8,69.24,10278.0,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,09_flood_neglect,洪水軽視型,2,0,4,"2050,2069",,,,,2075,2075,392659104.0,330773404.2,392659104.0,281997083.7,2.224,2448.4,76.34,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
333,01_no_policy,放置,1,1,2,2059,2087,2066,2095,,2075,2075,419579390.8,0.0,284974971.1,329482182.5,2.926,2024.6,71.64,10431.2,0.0,"[[2029, 196.7552186021484], [2032, 164.69515462866806], [2039, 151.64968396165378], [2045, 164.43131607782922], [2059, 170.97888408450314], [2067, 220.70450691196567], [2068, 148.65085494667102], [2073, 180.89839921725488], [2086, 166.31792126864858], [2087, 235.55501597814143], [2092, 174.37023312485886], [2100, 175.22677830910405]]"
333,02_hard_infra,堤防偏重,0,0,1,,,2066,2071,,,,270452411.2,0.0,207502614.5,217582317.1,3.747,3483.4,68.64,10431.2,0.0,"[[2029, 196.7552186021484], [2032, 164.69515462866806], [2039, 151.64968396165378], [2045, 164.43131607782922], [2059, 170.97888408450314], [2067, 220.70450691196567], [2068, 148.65085494667102], [2073, 180.89839921725488], [2086, 166.31792126864858], [2087, 235.55501597814143], [2092, 174.37023312485886], [2100, 175.22677830910405]]"
333,03_nature_based,自然共生偏重,1,0,2,2059,,2064,,,2075,2075,387801498.3,0.0,258892616.0,288338595.0,3.144,2321.6,73.38,10431.2,0.0,"[[2029, 196.7552186021484], [2032, 164.69515462866806], [2039, 151.64968396165378], [2045, 164.43131607782922], [2059, 170.97888408450314], [2067, 220.70450691196567], [2068, 148.65085494667102], [2073, 180.89839921725488], [2086, 166.31792126864858], [2087, 235.55501597814143], [2092, 174.37023312485886], [2100, 175.22677830910405]]"
333,04_agri_rnd,農業R&D偏重,1,0,2,2059,,2087,,,2075,2075,404860713.1,0.0,257384259.8,266250976.9,3.116,2989.4,76.18,10431.2,0.0,"[[2029, 196.7552186021484], [2032, 164.69515462866806], [2039, 151.64968396165378], [2045, 164.43131607782922], [2059, 170.97888408450314], [2067, 220.70450691196567], [2068, 148.65085494667102], [2073, 180.89839921725488], [2086, 166.31792126864858], [2087, 235.55501597814143], [2092, 174.37023312485886], [2100, 175.22677830910405]]"
