seed,scenario,label,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100
12,07_late_response,後手対応,318785541.6,0.0,275276619.8,245280459.7
12,08_ecosystem_sacrifice,生態系犠牲型,295924550.2,0.0,207163347.5,173337143.5
12,09_flood_neglect,洪水軽視型,318785541.6,0.0,267318367.8,245816918.9
13,01_no_policy,放置,316626428.7,0.0,312675905.7,308566862.4
13,02_hard_infra,堤防偏重,293906605.6,0.0,206193765.7,172656015.0
13,03_nature_based,自然共生偏重,308447292.4,0.0,277981927.9,268030459.3
13,04_agri_rnd,農業R&D偏重,316626428.7,0.0,268006978.3,245572356.4
13,05_relocation_capacity,移転・防災偏重,300449510.5,0.0,278829407.4,272038314.1
13,06_balanced,バランス型,307514027.0,0.0,253316011.4,231153265.1
13,07_late_response,後手対応,316626428.7,0.0,274030317.3,243566238.7
13,08_ecosystem_sacrifice,生態系犠牲型,293906605.6,0.0,206193765.7,172656015.0
13,09_flood_neglect,洪水軽視型,316626428.7,0.0,268006978.3,245572356.4
14,01_no_policy,放置,314455172.8,0.0,311256429.5,307450333.4
14,02_hard_infra,堤防偏重,291877559.9,0.0,205217676.8,171969494.8
14,03_nature_based,自然共生偏重,306778784.4,0.0,277634194.2,266161453.6
14,04_agri_rnd,農業R&D偏重,314455172.8,0.0,268709800.5,244338316.8
14,05_relocation_capacity,移転・防災偏重,298508442.1,0.0,276613128.7,270006909.9
14,06_balanced,バランス型,305498169.3,0.0,252290495.1,230057411.7
14,07_late_response,後手対応,314455172.8,0.0,272794341.5,241796761.5
14,08_ecosystem_sacrifice,生態系犠牲型,291877559.9,0.0,205217676.8,171969494.8
14,09_flood_neglect,洪水軽視型,314455172.8,0.0,268709800.5,244338316.8
15,01_no_policy,放置,312271785.3,0.0,309826551.9,306324552.0
15,02_hard_infra,堤防偏重,289837425.6,0.0,204235066.4,171277562.8
15,03_nature_based,自然共生偏重,305092790.2,0.0,277288340.8,265275748.8
15,04_agri_rnd,農業R&D偏重,312271785.3,0.0,269426935.0,244206572.5
15,05_relocation_capacity,移転・防災偏重,296655046.3,0.0,274874226.8,268403956.7
15,06_balanced,バランス型,303501679.0,0.0,251275592.7,229823677.1
15,07_late_response,後手対応,312271785.3,0.0,271570426.7,271006738.7
15,08_ecosystem_sacrifice,生態系犠牲型,289837425.6,0.0,204235066.4,171277562.8
15,09_flood_neglect,洪水軽視型,312271785.3,0.0,269426935.0,244206572.5
16,01_no_policy,放置,310076279.1,0.0,308386245.0,305189478.6
16,02_hard_infra,堤防偏重,287786216.6,0.0,203245920.3,170580199.3
16,03_nature_based,自然共生偏重,303389260.4,0.0,276944402.1,264386115.2
16,04_agri_rnd,農業R&D偏重,310076279.1,0.0,270158482.3,244081740.3
16,05_relocation_capacity,移転・防災偏重,294881198.4,0.0,273231046.4,266897131.8
16,06_balanced,バランス型,301526034.6,0.0,250269477.5,229607547.7
16,07_late_response,後手対応,310076279.1,0.0,270360437.1,269490686.4
16,08_ecosystem_sacrifice,生態系犠牲型,287786216.6,0.0,203245920.3,170580199.3
16,09_flood_neglect,洪水軽視型,310076279.1,0.0,270158482.3,244081740.3
17,01_no_policy,放置,307868668.7,0.0,306935481.8,304045074.4
17,02_hard_infra,堤防偏重,285723948.0,0.0,202250225.3,169877385.0
17,03_nature_based,自然共生偏重,301668146.9,0.0,276602413.0,263492599.8
17,04_agri_rnd,農業R&D偏重,307868668.7,0.0,270904542.3,243963939.2
17,05_relocation_capacity,移転・防災偏重,293101718.8,0.0,271446338.2,265228648.6
17,06_balanced,バランス型,299564253.6,0.0,249243609.9,229377664.9
17,07_late_response,後手対応,307868668.7,0.0,298878877.4,267934034.4
17,08_ecosystem_sacrifice,生態系犠牲型,285723948.0,0.0,202250225.3,169877385.0
17,09_flood_neglect,洪水軽視型,307868668.7,0.0,270904542.3,243963939.2
18,01_no_policy,放置,305648969.7,0.0,305474236.1,302891301.1
18,02_hard_infra,堤防偏重,283650636.4,0.0,227304535.4,163509369.5
18,03_nature_based,自然共生偏重,299929403.0,0.0,276262408.5,262595251.0
18,04_agri_rnd,農業R&D偏重,305648969.7,0.0,271665214.4,243853289.5
18,05_relocation_capacity,移転・防災偏重,291285309.2,0.0,269395984.0,263258694.0
18,06_balanced,バランス型,297615710.1,0.0,248182864.8,229118011.6
18,07_late_response,後手対応,305648969.7,0.0,297506445.1,266334585.5
18,08_ecosystem_sacrifice,生態系犠牲型,283650636.4,0.0,227304535.4,163509369.5
18,09_flood_neglect,洪水軽視型,305648969.7,0.0,271665214.4,243853289.5
19,01_no_policy,放置,304002482.4,232131533.7,304002482.4,301728120.8
19,02_hard_infra,堤防偏重,281566299.6,183440583.6,226179973.7,162843687.6
19,03_nature_based,自然共生偏重,298172983.4,219958796.2,275924423.7,261694118.8
19,04_agri_rnd,農業R&D偏重,303417199.3,232131533.7,272440597.7,243749912.3
19,05_relocation_capacity,移転・防災偏重,289611131.4,167013902.4,267575400.2,261529196.9
19,06_balanced,バランス型,295703725.4,170076864.3,247148538.4,228894000.2
19,07_late_response,後手対応,303417199.3,226195390.6,296144826.0,264689999.7
19,08_ecosystem_sacrifice,生態系犠牲型,281566299.6,183440583.6,226179973.7,162843687.6
19,09_flood_neglect,洪水軽視型,303417199.3,232131533.7,272440597.7,243749912.3
20,01_no_policy,放置,302520196.0,230872290.0,302520196.0,300555496.4
