Yield,Flood Damage,Budget,Ecosystem,Urban Convenience,Forest Area,Resident Burden,Policy_ID,RCP,planting_trees_amount_t1,house_migration_amount_t1,dam_levee_construction_cost_t1,paddy_dam_construction_cost_t1,capacity_building_cost_t1,agricultural_RnD_cost_t1,transportation_invest_t1,planting_trees_amount_t2,house_migration_amount_t2,dam_levee_construction_cost_t2,paddy_dam_construction_cost_t2,capacity_building_cost_t2,agricultural_RnD_cost_t2,transportation_invest_t2,planting_trees_amount_t3,house_migration_amount_t3,dam_levee_construction_cost_t3,paddy_dam_construction_cost_t3,capacity_building_cost_t3,agricultural_RnD_cost_t3,transportation_invest_t3,Cluster
187368.37403690256,10980538783.488142,10823250000,-6.141121914949212,100.0,42.46452500230712,157000.5143158382,21,8.5,1,0,1,1,1,2,2,2,1,1,0,0,2,1,1,0,2,0,2,0,0,1
359471.2513082552,1375478724.420797,18646500000,24.821122658890026,99.01288246775354,84.92905000461424,35088.01722616525,22,1.9,2,2,2,1,1,2,2,2,1,2,0,1,2,0,0,2,1,2,0,1,1,4
265684.64292237494,5216290955.689019,7996500000,25.422210615231894,98.94820882365043,84.92905000461424,76996.93085036118,23,4.5,2,2,1,0,0,0,0,1,2,2,1,2,2,2,0,0,1,2,2,2,1,2
339632.9319062515,2127957550.440567,16973250000,11.183408618284558,99.50706249116277,42.46452500230712,42946.30219102121,24,2.6,1,1,2,2,1,1,1,2,2,1,2,2,0,2,2,0,0,2,0,1,1,4
323692.5915282972,2343657648.2543225,16396500000,23.990035895638293,98.98413372658158,84.92905000461424,45881.30593996463,25,2.6,2,2,2,1,1,0,1,1,1,2,2,1,1,0,1,0,1,2,0,2,2,4
162751.22748574978,10000477552.62127,16148250000,-36.74625064969248,98.92144302607514,42.46452500230712,148222.29239249596,26,8.5,1,2,2,1,0,1,0,0,1,1,1,0,2,2,1,2,0,2,0,1,2,1
342957.60150368704,1852349819.2852921,16673250000,12.307585457016948,100.0,42.46452500230712,39134.982769123475,27,1.9,1,0,2,0,0,0,2,1,0,2,1,0,1,2,1,0,2,1,0,2,2,4
151442.20607430537,10421156736.334408,9248250000,-59.431539887005385,100.0,42.46452500230712,146479.5055895826,28,8.5,1,0,1,0,1,0,2,1,0,0,2,0,1,2,0,2,1,2,2,0,1,1
238080.7343294198,5636172825.03717,16898250000,12.299585457016951,100.0,42.46452500230712,90941.18590097371,29,6.0,1,0,2,2,1,0,2,0,2,0,1,1,0,1,0,2,1,2,2,1,0,3
338525.29626709386,2047672687.856207,16996500000,24.603825493670993,100.0,84.92905000461424,41819.15121009896,30,2.6,2,0,2,0,2,1,1,2,0,0,0,2,2,0,1,1,0,0,2,1,0,4
145592.58773203654,12311255702.76867,8573250000,-55.81285656868503,100.0,42.46452500230712,171471.40446716335,31,8.5,1,0,1,2,0,1,0,1,2,0,0,0,0,1,0,1,0,2,1,1,2,1
